advisee,advisor,possibility,collaborate_times,start_year
Michael P. Gilroy,Konstantinos Sasloglou,0.684054,1,2009,2009,1
Sunit Mangalvedhekar,Biplab Sarkar,0.572776,1,1997,1997,1
Peixi Peng,Teng Xu 0002,0.956236,1,2012,2012,1
Mario del Valle,Miguel Katrib,0.684054,1,2002,2002,1
Joo-Yeon Hwang,Min-Cheol Hong,0.947492,1,2009,2009,1
Franziskus Timmermann,Michael Kempf,0.893682,1,1991,1991,1
Aoife Power,Phil Ellis,0.684054,1,2004,2004,1
Stuart P. Goring,Antonia J. Jones,0.940834,1,2007,2007,1
Yiqing Shen,Gecheng Zha,0.942568,4,2009,2009,1,2010,1,2011,1,2012,1
Ai-Fan Ling,Feng-Min Xu,0.832159,1,2009,2009,1
Djamila Medjahed Gamaz,Houssem Eddine Gueziri,0.85565,1,2010,2010,1
Patricia M. West,Carlo Curino,0.684054,1,2005,2005,1
Sandra Moral,Alberto L. Sangiovanni-Vincentelli,0.684054,1,2000,2000,1
Viktor F. S. Saboia,Miguel Franklin de Castro,0.684054,1,2006,2006,1
Victor Berman,Erich Marschner,0.726368,1,2004,2004,1
Jan Vana,Martin Drahanský,0.926127,7,2010,2010,1,2011,1,2012,2,2013,1,2014,1,2015,1
Kathrin Hofmann,Wilfried Reiners,0.947492,1,2007,2007,1
Krishna Chaitanya T.,Jai Ganesh,0.988726,1,2011,2011,1
Carles Garrigues,Joan Borrell,0.940834,3,2008,2008,1,2009,1,2010,1
Daniel Xavier de Sousa,Patrick Valduriez,0.940834,1,2008,2008,1
Samuel Oladapo,Andy Igonor,0.940834,1,2009,2009,1
Jinhui Liu,Paul D. Gader,0.82083,2,2000,2000,1,2002,1
Pierfranco Gennai,Roberto Meli,0.922508,1,2012,2012,1
Yu-Ren Ju,Yaw-Huei Chen,0.726368,1,2009,2009,1
Jennifer Kay,Julius Etzl,0.864861,1,1998,1998,1
Aruna Sankaranarayanan,Maja J. Mataric,0.715622,1,1998,1998,1
Chongjun Zhu,Lifeng Xu,0.947492,1,2007,2007,1
Masita Jalil,Shahrul Azman Mohd. Noah,0.947492,1,2007,2007,1
Buhwan Jung,Hyunbo Cho,0.684054,1,2002,2002,1
Jane Acheson,Robert B. Allen,0.726368,1,2000,2000,1
G. J. Liu,J. Qiu,0.940834,1,2008,2008,1
Bijun Luo,Guofeng Dong,0.832159,1,2009,2009,1
James TenEyck,G. Sampath,0.82083,3,1998,1998,1,2001,1,2005,1
Jian-Yun Shang,Lei Yang,0.726368,1,2007,2007,1
Bret M. Victor,Kurt Keutzer,0.947492,1,2001,2001,1
Irina Davidovskaja,Vitaly G. Levashenko,0.684054,1,2005,2005,1
Ryan Caldwell,Alagan Anpalagan,0.947492,2,2006,2006,1,2008,1
Guillermo Verduzco,Stewart H. Mostofsky,0.922508,1,2010,2010,1
Wei-Jyun Chen,Kai-Tai Song,0.622261,1,2011,2011,1
Stephane Chiocchetti,Kave Eshghi,0.684054,1,2005,2005,1
Fernando Berzal,Aída Jiménez,0.942568,10,2008,2008,1,2009,2,2010,3,2011,2,2012,1,2013,1
M. Gregory Forest,Hong Zhou,0.827042,1,2000,2000,1
Enrique Caliz,Karthikeyan Umapathy,0.622261,1,2011,2011,1
Jane Saetent,Suphamit Chittayasothorn,0.963784,2,2011,2011,1,2012,1
