advisee,startyear, collaborate_times
Victor V. Kryssanov,1998,10,1998,1,1999,1,2000,1,2001,3,2002,2,2004,1,2005,1
Anne-Marie Vercoustre,1997,17,1997,1,1998,4,1999,3,2000,2,2001,2,2002,3,2004,2
Minghui Mo,2007,1,2007,1
Minghui Ma,2008,15,2008,1,2009,1,2010,1,2011,4,2013,2,2014,4,2015,2
Kaiduan Xie,2003,2,2003,1,2005,1
Tetsuya Ichikawa,2000,6,2000,2,2004,1,2005,1,2007,2
Lars Holm Christiansen,2011,2,2011,2
M. A. Klump,1984,1,1984,1
Shelly Lotenberg,2009,3,2009,3
Matija Pipan,2012,3,2012,1,2015,1,2016,1
Carlos Enrique Cuesta Quintero,2000,11,2000,2,2001,2,2002,2,2003,1,2004,1,2005,2,2006,1
Vadim D. Kotov,2009,4,2009,1,2010,2,2012,1
Nur Arad,1994,8,1994,3,1995,1,1997,1,1998,2,1999,1
Jon Howell,1997,10,1997,1,1998,1,1999,2,2000,4,2002,2
Duck O. Kim,2000,2,2000,1,2001,1
Suzanne C. Perkins,2010,1,2010,1
Charlie Gracie,2008,3,2008,1,2013,1,2014,1
Valentina Orsini,2006,8,2006,1,2009,3,2010,2,2012,1,2013,1
Pradeep Chowriappa,2008,9,2008,1,2009,2,2010,1,2012,1,2013,2,2014,1,2015,1
S. Shanthi,2001,2,2001,1,2006,1
Vijay Bansal,2012,3,2012,2,2013,1
R. Gallay,2010,2,2010,1,2012,1
Baktash Boghrati,2005,4,2005,1,2010,1,2011,1,2012,1
Peter Hurley,1985,1,1985,1
Brandon K. Harvey,2011,1,2011,1
V. Knoop,1999,2,1999,1,2000,1
Karin Kajbjer,2008,5,2008,1,2009,3,2010,1
Liang Yu Loy,2012,2,2012,2
C. D. Vargas,2012,1,2012,1
G. Paramasivam,2012,1,2012,1
Lubomir Otrusina,2010,1,2010,1
Yuan-Yuan Sun,2007,2,2007,1,2013,1
Natasha Jarymowycz,2002,1,2002,1
Yinglei Fan,2006,1,2006,1
Mazyrah Masri,2009,1,2009,1
Georgios Halkias,2007,1,2007,1
Shuai Che,2008,16,2008,2,2009,1,2010,1,2011,2,2013,2,2014,6,2015,2
Daniele Gunetti,1993,12,1993,7,1994,2,1996,2,1999,1
Alla Korchminskaya,2007,1,2007,1
Ling Chen,1987,5,1987,1,1989,1,1993,1,1994,2
Sam Buss,2011,18,2011,2,2012,1,2013,4,2014,3,2015,6,2016,2
P. G. Depledge,1984,1,1984,1
Joachim Kneis,2003,24,2003,1,2005,2,2006,5,2007,3,2008,2,2009,8,2010,3
Vinay Uday Prabhu,2009,6,2009,1,2010,1,2011,2,2014,2
Florian Devic,2010,4,2010,1,2011,1,2012,2
Pallavi Khatri,2010,4,2010,1,2012,1,2013,1,2014,1
Vijay B. Aggarwal,1979,1,1979,1
Giannis Milolidakis,2007,13,2007,1,2008,3,2009,2,2010,1,2011,2,2012,2,2013,2
Takanori Oku,2012,4,2012,2,2014,1,2015,1
Chenwang Liao,2012,1,2012,1
Margaret Brown,2012,1,2012,1
Huadong Guo,2003,37,2003,2,2004,8,2005,7,2007,3,2008,4,2009,6,2010,7
Santosh Srivastava,2006,8,2006,1,2007,1,2008,3,2009,1,2010,2
Maurizio Mauri,2011,2,2011,1,2015,1
Pablo P. Trabado,1993,2,1993,1,1998,1
Adham Alqassis,2012,2,2012,1,2013,1
Richard Eaton,2000,4,2000,1,2003,1,2004,1,2006,1
Stefano Crosta,2003,5,2003,1,2006,3,2007,1
Petr Divina,2004,1,2004,1
Toshihide Miwa,1991,1,1991,1
Z. J. Ding,2006,2,2006,1,2012,1
Christian B. Almazan,2004,2,2004,1,2007,1
Ralph W. Crosby,2011,2,2011,1,2012,1
John Kolts,1985,2,1985,1,1991,1
Alessandra Fanni,1988,4,1988,1,1993,3
Michael M. Miyamoto,2006,2,2006,1,2009,1
Morteza M. Mehrabadi,2007,1,2007,1
Lorenz Schwittmann,2011,7,2011,1,2013,1,2014,4,2016,1
Sangeetha Parthasarathy,2007,1,2007,1
Forest M. White,2007,3,2007,1,2008,1,2011,1
J. Zapata-Perez,2012,1,2012,1
Yue-Peng Wang,2009,2,2009,1,2011,1
Kyungsun Kim,2001,4,2001,2,2004,1,2005,1
Sean A. Patterson,2004,1,2004,1
Farida Tripodi,2011,1,2011,1
